,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Area_log,Price_log,loc_updated
25,1100.0,3,3,Furnished,Rohini Sector 20,1,7000000,Ready_to_move,New_Property,Builder_Floor,7.0030654587864625,15.761420707019589,Rohini
26,800.0,3,2,Semi-Furnished,Rohini Sector 25,1,7000000,Ready_to_move,Resale,Builder_Floor,6.684611727667928,15.761420707019589,Rohini
27,500.0,1,1,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1,3400000,Ready_to_move,Resale,Apartment,6.214608098422191,15.039285989586391,Rohini
28,28.0,2,2,Furnished,Rohini Sector 25,1,5000000,Ready_to_move,New_Property,Apartment,3.332204510175204,15.424948470398377,Rohini
29,2160.0,4,4,Furnished,Rohini Sector 19,1,21000000,Ready_to_move,New_Property,Builder_Floor,7.67786350067821,16.860032995687696,Rohini
30,1500.0,1,1,Unfurnished,Lajpat Nagar 2,0,13500000,Ready_to_move,Resale,Apartment,7.3132203870903005,16.41820024340866,Lajpat Nagar
31,800.0,2,2,Unfurnished,Lajpat Nagar 1,1,15000000,Ready_to_move,New_Property,Builder_Floor,6.684611727667928,16.523560759066484,Lajpat Nagar
32,900.0,2,2,Unfurnished,Lajpat Nagar,1,10500000,Ready_to_move,New_Property,Builder_Floor,6.802394763324312,16.166885815127753,Lajpat Nagar
33,1080.0,3,2,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,Builder_Floor,6.984716320118267,16.929025867174648,Lajpat Nagar
34,750.0,2,2,Unfurnished,Lajpat Nagar 4,1,13600000,Ready_to_move,New_Property,Builder_Floor,6.620073206530356,16.42558035070628,Lajpat Nagar
35,1450.0,3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,7.279318835414621,17.216707939626428,Lajpat Nagar
36,900.0,2,2,Semi-Furnished,Lajpat Nagar,1,13500000,Ready_to_move,New_Property,Apartment,6.802394763324312,16.41820024340866,Lajpat Nagar
37,810.0,2,2,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",1,8910000,Ready_to_move,Resale,Builder_Floor,6.697034247666483,16.002684799446993,Lajpat Nagar
38,1350.0,3,4,Unfurnished,Lajpat Nagar,1,25000000,Ready_to_move,Resale,Apartment,7.2078598714324755,17.034386382832476,Lajpat Nagar
39,1710.0,3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,Builder_Floor,7.444248649496705,17.073607095985757,Lajpat Nagar
40,1650.0,3,3,Semi-Furnished,Lajpat Nagar,1,30000000,Ready_to_move,Resale,Builder_Floor,7.408530566894625,17.216707939626428,Lajpat Nagar
41,1280.0,2,2,Furnished,Lajpat Nagar,1,12500000,Ready_to_move,Resale,Builder_Floor,7.154615356913662,16.34123920227253,Lajpat Nagar
42,1260.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,7.138866999945524,16.860032995687696,Lajpat Nagar
43,1130.0,2,2,Unfurnished,Lajpat Nagar 4,1,7800000,Ready_to_move,Resale,Builder_Floor,7.029972911706387,15.86963429165982,Lajpat Nagar
44,600.0,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",1,11500000,Ready_to_move,New_Property,Builder_Floor,6.396929655216146,16.25785759333348,Lajpat Nagar
45,850.0,2,2,Semi-Furnished,Lajpat Nagar 1,1,11500000,Ready_to_move,Resale,Builder_Floor,6.745236349484363,16.25785759333348,Lajpat Nagar
46,1500.0,3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,Builder_Floor,7.3132203870903005,17.073607095985757,Lajpat Nagar
47,900.0,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",2,13000000,Ready_to_move,New_Property,Builder_Floor,6.802394763324312,16.38045991542581,Lajpat Nagar
48,1000.0,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22000000,Ready_to_move,New_Property,Builder_Floor,6.907755278982138,16.90655301132259,Lajpat Nagar
49,900.0,2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,Builder_Floor,6.802394763324312,16.575520497997196,Lajpat Nagar
50,2925.0,4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,Builder_Floor,7.981049759665956,17.86729550576758,Lajpat Nagar
51,900.0,2,2,Unfurnished,Lajpat Nagar 1,2,10000000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,16.11809565095832,Lajpat Nagar
52,1600.0,3,3,Unfurnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,7.377758908227872,17.216707939626428,Lajpat Nagar
53,1143.0,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",2,22000000,Ready_to_move,New_Property,Builder_Floor,7.041411663794809,16.90655301132259,Lajpat Nagar
54,1150.0,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2,24000000,Ready_to_move,New_Property,Builder_Floor,7.047517221357295,16.99356438831222,Lajpat Nagar
55,1500.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,Builder_Floor,7.3132203870903005,17.26549810379586,Lajpat Nagar
56,850.0,2,2,Semi-Furnished,Lajpat Nagar 2,1,14600000,Ready_to_move,Resale,Builder_Floor,6.745236349484363,16.496532086678563,Lajpat Nagar
57,8000.0,4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,Builder_Floor,8.987196820661973,19.296149481306266,Lajpat Nagar
58,890.0,2,2,Semi-Furnished,Lajpat Nagar 1,1,8300000,Ready_to_move,Resale,Builder_Floor,6.7912214627261855,15.931766072766829,Lajpat Nagar
59,1100.0,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,Builder_Floor,7.0030654587864625,16.929025867174648,Lajpat Nagar
60,750.0,1,1,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2,4600000,Ready_to_move,Resale,Apartment,6.620073206530356,15.341566861459324,Dwarka
61,850.0,2,1,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",2,1900000,Ready_to_move,New_Property,Apartment,6.745236349484363,14.457364444136667,Dwarka
62,1350.0,3,2,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,Apartment,7.2078598714324755,15.450616217146953,Dwarka
63,1387.0,4,4,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,Apartment,7.23489842031483,15.588766555627771,Dwarka
64,1050.0,3,2,Unfurnished,"The Elite Spire, Dwarka Sector 21",1,3700000,Ready_to_move,New_Property,Apartment,6.956545443151568,15.123843377614453,Dwarka
65,1500.0,3,2,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,Apartment,7.3132203870903005,16.671980764184756,Dwarka
66,1200.0,3,3,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,Apartment,7.090076835776093,16.556350581889475,Dwarka
67,700.0,2,1,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,2400000,Almost_ready,New_Property,Apartment,6.551080335043403,14.690979295318177,Dwarka
68,1700.0,3,2,Semi-Furnished,"Sunny Valley Apartments, Dwarka",1,17200000,Ready_to_move,Resale,Apartment,7.438383530044308,16.660419941783687,Dwarka
69,1550.0,3,2,Furnished,"Shri Agrasen Apartment, Dwarka Sector 7",2,14200000,Ready_to_move,Resale,Apartment,7.346010209913294,16.46875252257149,Dwarka
70,1400.0,3,3,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1,13500000,Ready_to_move,Resale,Apartment,7.244227515603349,16.41820024340866,Dwarka
71,1900.0,4,4,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",1,30000000,Ready_to_move,Resale,Apartment,7.549609165154532,17.216707939626428,Dwarka
72,2160.0,4,3,Unfurnished,"Chander Lok Apartment, Dwarka Sector 19",1,21000000,Ready_to_move,Resale,Apartment,7.67786350067821,16.860032995687696,Dwarka
73,1700.0,4,3,Unfurnished,"Neelachal, Dwarka Sector 5",1,20500000,Ready_to_move,Resale,Apartment,7.438383530044308,16.835935444108635,Dwarka
74,1850.0,3,4,Semi-Furnished,Dwarka,1,24000000,Ready_to_move,Resale,Apartment,7.52294091807237,16.99356438831222,Dwarka
75,1800.0,4,2,Semi-Furnished,"MeeraBai Apartment, Dwarka Sector 5",1,16500000,Ready_to_move,Resale,Apartment,7.495541943884256,16.61887093887081,Dwarka
76,1620.0,3,2,Semi-Furnished,"Crescent Apartments, Dwarka Sector 18",1,14900000,Ready_to_move,Resale,Apartment,7.390181428226429,16.51687177091569,Dwarka
77,1800.0,4,3,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",1,19200000,Ready_to_move,Resale,Apartment,7.495541943884256,16.77042083699801,Dwarka
78,1540.0,3,3,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,Apartment,7.339537695407674,16.489659207390805,Dwarka
79,1600.0,3,3,Semi-Furnished,"Ashirwad Apartments, Dwarka",1,15600000,Ready_to_move,Resale,Apartment,7.377758908227872,16.562781472219765,Dwarka
80,1400.0,3,2,Unfurnished,"Indraprastha Apartment, Dwarka Sector 12",1,11400000,Ready_to_move,Resale,Apartment,7.244227515603349,16.249123913364723,Dwarka
81,2300.0,4,4,Furnished,"Mohinder Apartments, Dwarka",1,31500000,Ready_to_move,Resale,Apartment,7.7406644019172415,17.26549810379586,Dwarka
82,1560.0,3,2,Furnished,"Ashoka Apartments, Dwarka Sector 12",2,15800000,Ready_to_move,Resale,Apartment,7.352441100243581,16.575520497997196,Dwarka
83,1500.0,3,3,Semi-Furnished,"Karuna Vihar Apartment, Dwarka",2,16000000,Ready_to_move,Resale,Apartment,7.3132203870903005,16.588099280204055,Dwarka
84,1540.0,3,3,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,Apartment,7.339537695407674,16.489659207390805,Dwarka
85,1050.0,2,2,Unfurnished,"LNT Apartments, Dwarka",1,10500000,Ready_to_move,Resale,Apartment,6.956545443151568,16.166885815127753,Dwarka
86,1800.0,3,2,Semi-Furnished,Dwarka Sector 4,1,14800000,Ready_to_move,Resale,Apartment,7.495541943884256,16.510137738734347,Dwarka
87,400.0,1,1,Semi-Furnished,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1,1850000,Ready_to_move,New_Property,Builder_Floor,5.991464547107983,14.430696197054507,Dwarka
88,1150.0,3,2,Semi-Furnished,Dwarka Sector 16B,1,6800000,Ready_to_move,New_Property,Builder_Floor,7.047517221357295,15.732433170146336,Dwarka
89,1525.0,3,3,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1,14200000,Ready_to_move,Resale,Apartment,7.329749689041513,16.46875252257149,Dwarka
90,900.0,1,1,Semi-Furnished,Lajpat Nagar 3,0,8900000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,16.001561834702372,Lajpat Nagar
91,1450.0,3,3,Semi-Furnished,Lajpat Nagar 3,2,37500000,Ready_to_move,New_Property,Builder_Floor,7.279318835414621,17.43985149094064,Lajpat Nagar
92,1450.0,3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,7.279318835414621,17.216707939626428,Lajpat Nagar
93,1260.0,3,3,Semi-Furnished,Lajpat Nagar 3,2,21000000,Ready_to_move,Resale,Builder_Floor,7.138866999945524,16.860032995687696,Lajpat Nagar
94,2925.0,4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,Builder_Floor,7.981049759665956,17.86729550576758,Lajpat Nagar
95,1710.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,Builder_Floor,7.444248649496705,17.216707939626428,Lajpat Nagar
96,1600.0,3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,New_Property,Builder_Floor,7.377758908227872,17.216707939626428,Lajpat Nagar
97,1500.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,Builder_Floor,7.3132203870903005,17.26549810379586,Lajpat Nagar
98,2200.0,3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,Builder_Floor,7.696212639346408,17.216707939626428,Lajpat Nagar
99,1350.0,3,3,Unfurnished,Lajpat Nagar 3,1,41500000,Ready_to_move,New_Property,Builder_Floor,7.2078598714324755,17.541203985200926,Lajpat Nagar
100,1710.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,24800000,Ready_to_move,Resale,Builder_Floor,7.444248649496705,17.02635421113521,Lajpat Nagar
101,1350.0,3,3,Semi-Furnished,Lajpat Nagar 3,2,35000000,Ready_to_move,Resale,Builder_Floor,7.2078598714324755,17.37085861945369,Lajpat Nagar
102,1500.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,40000000,Ready_to_move,Resale,Builder_Floor,7.3132203870903005,17.50439001207821,Lajpat Nagar
103,2880.0,4,5,Unfurnished,Lajpat Nagar 3,1,46000000,Ready_to_move,New_Property,Builder_Floor,7.965545573129993,17.64415195445337,Lajpat Nagar
104,2700.0,4,4,Semi-Furnished,Lajpat Nagar 3,2,55000000,Ready_to_move,Resale,Builder_Floor,7.90100705199242,17.822843743196746,Lajpat Nagar
105,1400.0,3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,Builder_Floor,7.244227515603349,17.014183675514957,Lajpat Nagar
106,1800.0,3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,Apartment,7.495541943884256,17.014183675514957,Lajpat Nagar
107,1400.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,32500000,Ready_to_move,New_Property,Builder_Floor,7.244227515603349,17.296750647299966,Lajpat Nagar
108,1000.0,2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,Apartment,6.907755278982138,16.811242831518268,Lajpat Nagar
109,8000.0,4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,Builder_Floor,8.987196820661973,19.296149481306266,Lajpat Nagar
110,1000.0,2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,Apartment,6.907755278982138,16.811242831518268,Lajpat Nagar
111,1700.0,3,3,Furnished,Lajpat Nagar 3,2,19000000,Ready_to_move,Resale,Builder_Floor,7.438383530044308,16.759949537130716,Lajpat Nagar
112,1600.0,3,3,Unfurnished,Lajpat Nagar 3,2,26000000,Ready_to_move,Resale,Builder_Floor,7.377758908227872,17.073607095985757,Lajpat Nagar
113,1350.0,3,3,Unfurnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,7.2078598714324755,16.860032995687696,Lajpat Nagar
114,1700.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,27500000,Ready_to_move,Resale,Builder_Floor,7.438383530044308,17.1296965626368,Lajpat Nagar
115,1400.0,3,3,Semi-Furnished,Lajpat Nagar 3,2,32500000,Ready_to_move,New_Property,Builder_Floor,7.244227515603349,17.296750647299966,Lajpat Nagar
116,1450.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,45000000,Ready_to_move,New_Property,Builder_Floor,7.279318835414621,17.622173047734595,Lajpat Nagar
117,1350.0,3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,7.2078598714324755,16.860032995687696,Lajpat Nagar
118,1700.0,3,3,Unfurnished,Lajpat Nagar 3,1,28000000,Ready_to_move,Resale,Builder_Floor,7.438383530044308,17.147715068139483,Lajpat Nagar
119,1600.0,3,3,Unfurnished,Lajpat Nagar 3,2,29500000,Ready_to_move,Resale,Builder_Floor,7.377758908227872,17.19990082131005,Lajpat Nagar
120,1500.0,1,1,Unfurnished,Lajpat Nagar 2,0,13500000,Ready_to_move,Resale,Apartment,7.3132203870903005,16.41820024340866,Lajpat Nagar
121,800.0,2,2,Unfurnished,Lajpat Nagar 2,1,14000000,Ready_to_move,New_Property,Builder_Floor,6.684611727667928,16.454567887579532,Lajpat Nagar
122,1710.0,3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,Builder_Floor,7.444248649496705,17.073607095985757,Lajpat Nagar
123,1350.0,2,2,Furnished,Lajpat Nagar 2,4,12500000,Ready_to_move,Resale,Builder_Floor,7.2078598714324755,16.34123920227253,Lajpat Nagar
124,1500.0,3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,Builder_Floor,7.3132203870903005,17.073607095985757,Lajpat Nagar
125,750.0,2,2,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2,11500000,Ready_to_move,New_Property,Builder_Floor,6.620073206530356,16.25785759333348,Lajpat Nagar
126,850.0,2,2,Semi-Furnished,Lajpat Nagar 2,2,14600000,Ready_to_move,Resale,Builder_Floor,6.745236349484363,16.496532086678563,Lajpat Nagar
127,1575.0,3,3,Semi-Furnished,Lajpat Nagar 2,1,25500000,Ready_to_move,New_Property,Builder_Floor,7.362010551259734,17.054189010128656,Lajpat Nagar
128,1675.0,3,3,Semi-Furnished,Lajpat Nagar 2,2,31000000,Ready_to_move,New_Property,Builder_Floor,7.423568444259168,17.24949776244942,Lajpat Nagar
129,1350.0,3,3,Semi-Furnished,Lajpat Nagar 2,2,22000000,Ready_to_move,Resale,Builder_Floor,7.2078598714324755,16.90655301132259,Lajpat Nagar
130,900.0,2,2,Semi-Furnished,Lajpat Nagar 2,2,13400000,Ready_to_move,New_Property,Builder_Floor,6.802394763324312,16.410765264921142,Lajpat Nagar
131,1800.0,3,3,Semi-Furnished,Lajpat Nagar 2,2,35000000,Almost_ready,New_Property,Builder_Floor,7.495541943884256,17.37085861945369,Lajpat Nagar
132,900.0,2,2,Furnished,Lajpat Nagar 2,2,11000000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,16.213405830762643,Lajpat Nagar
133,900.0,2,2,Unfurnished,"Vinoba Puri, Lajpat Nagar",2,6300000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,15.656060191361759,Lajpat Nagar
134,900.0,2,2,Furnished,Lajpat Nagar 2,2,12500000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,16.34123920227253,Lajpat Nagar
135,800.0,2,2,Unfurnished,Lajpat Nagar 2,1,14500000,Ready_to_move,New_Property,Builder_Floor,6.684611727667928,16.489659207390805,Lajpat Nagar
136,1100.0,2,3,Semi-Furnished,Lajpat Nagar 2,1,22500000,Ready_to_move,New_Property,Builder_Floor,7.0030654587864625,16.929025867174648,Lajpat Nagar
137,810.0,2,2,Semi-Furnished,Lajpat Nagar 2,1,15500000,Ready_to_move,New_Property,Builder_Floor,6.697034247666483,16.556350581889475,Lajpat Nagar
138,1500.0,3,3,Semi-Furnished,Lajpat Nagar 2,1,26000000,Ready_to_move,New_Property,Builder_Floor,7.3132203870903005,17.073607095985757,Lajpat Nagar
139,900.0,2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,Builder_Floor,6.802394763324312,16.575520497997196,Lajpat Nagar
140,825.0,2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,Builder_Floor,6.715383386334682,16.523560759066484,Lajpat Nagar
141,900.0,2,2,Unfurnished,Lajpat Nagar 2,1,13000000,Ready_to_move,New_Property,Builder_Floor,6.802394763324312,16.38045991542581,Lajpat Nagar
142,875.0,2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,Builder_Floor,6.774223886357614,16.523560759066484,Lajpat Nagar
143,1350.0,3,3,Semi-Furnished,Lajpat Nagar 2,1,25000000,Ready_to_move,New_Property,Builder_Floor,7.2078598714324755,17.034386382832476,Lajpat Nagar
144,750.0,2,2,Semi-Furnished,Lajpat Nagar 2,1,16500000,Ready_to_move,New_Property,Builder_Floor,6.620073206530356,16.61887093887081,Lajpat Nagar
145,900.0,2,2,Unfurnished,Lajpat Nagar 2,1,10300000,Ready_to_move,New_Property,Builder_Floor,6.802394763324312,16.147654453199866,Lajpat Nagar
146,1350.0,3,3,Semi-Furnished,Lajpat Nagar 2,1,26000000,Ready_to_move,New_Property,Builder_Floor,7.2078598714324755,17.073607095985757,Lajpat Nagar
147,900.0,2,2,Unfurnished,Lajpat Nagar 2,1,11000000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,16.213405830762643,Lajpat Nagar
148,1800.0,3,3,Unfurnished,Lajpat Nagar 2,1,28500000,Ready_to_move,New_Property,Builder_Floor,7.495541943884256,17.16541464523888,Lajpat Nagar
149,900.0,2,2,Unfurnished,Lajpat Nagar 2,1,11000000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,16.213405830762643,Lajpat Nagar
150,900.0,2,1,Furnished,Budh Vihar,1,11000000,Ready_to_move,Resale,Apartment,6.802394763324312,16.213405830762643,Budh Vihar
151,810.0,3,2,Semi-Furnished,Budh Vihar,1,4500000,Ready_to_move,Resale,Builder_Floor,6.697034247666483,15.319587954740546,Budh Vihar
